"year","vo_demand_billion_liters","demand_share_pct","pct_delta_p_central","pct_delta_p_high","beyond_marginal"
2028,0,0,0,0,FALSE
2029,4.1,1.85184276028652,4.6040230514922,12.3456184019101,FALSE
2030,15,6.7750344888531,16.843986773752,45.166896592354,FALSE
2031,39,17.6150896710181,43.7943656117551,117.43393114012,FALSE
2032,63.4,28.6358124395525,71.1939174303917,190.905416263683,TRUE
2033,88.3,39.8823696910486,99.1549354748199,265.882464606991,TRUE
2034,113.7,51.3547614255065,127.67741974504,342.365076170044,TRUE
2035,139.3,62.9174869531492,156.424490505577,419.449913020994,TRUE
